Open/Closed,Total OP Margin,Net Interest Rate,Cash Profit Margin,Asset Liability,10 Year Cash Growth Rate,Tax rate,Persistent EPS,Non-industry revenue,R&D Expense Rate
1,0.601457213,0.796887146,0.458143144,0.025592368,458000000,0,0.169140588,0.302646434,0
1,0.610235086,0.797380191,0.461867257,0.023946819,2490000000,0,0.208943935,0.30355643,0
1,0.601450006,0.796403369,0.458520587,0.003715116,761000000,0,0.180580505,0.302035177,25500000
1,0.583541129,0.796966968,0.465705443,0.0221652,2030000000,0,0.193722227,0.303349536,0
1,0.598783494,0.797366081,0.462746282,0,824000000,0,0.212536636,0.303474978,0
1,0.590171378,0.796903193,0.465861453,0.003772505,295000000,0,0.174435095,0.303115813,0
0,0.619949841,0.797011929,0.461020105,0.009347426,2390000000,0,0.161482462,0.302814415,730000000
0,0.601738278,0.797448808,0.46702398,0.005345656,734000000,0.157607045,0.225205635,0.303544587,50900000
0,0.603612044,0.797413531,0.463142179,0,0.00010523,0.00587104,0.218398412,0.303583501,0
0,0.599208694,0.797403571,0.470575308,0.004950682,258000000,0.392448628,0.217831143,0.303482954,0
0,0.614025858,0.797534994,0.46481803,0.064126528,308000000,0,0.21896568,0.303758974,1900000000
0,0.623711786,0.79744286,0.465490719,0.017846406,337000000,0,0.20468942,0.303604528,1210000000
0,0.608130702,0.797428887,0.464100048,0.00951318,5330000000,0.185241421,0.219343859,0.303434856,0
0,0.600577985,0.797368294,0.467198443,0.004786619,5470000000,0,0.212914815,0.303491655,917000000
0,0.604685856,0.797513967,0.478766681,0.022682029,2370000000,0,0.226434717,0.30356634,0
0,0.621773159,0.797506773,0.472093472,0.016323049,306000000,0.258730641,0.223787463,0.303461926,79800000
0,0.606523588,0.797877249,0.462196053,0.01746916,0.000295044,0.029456423,0.220194762,0.304319474,849000000
0,0.618450828,0.797588255,0.470061985,0.010242675,1240000000,0.217430914,0.233052851,0.303558606,0
0,0.598343879,0.79741201,0.46844317,0.018478626,603000000,0.09555623,0.220005673,0.303522834,119000000
0,0.63625881,0.797443551,0.465163601,0.001772228,8490000000,0.441643891,0.217452964,0.303467002,0
0,0.622176739,0.797521714,0.488241363,0,6460000000,0.261058812,0.219343859,0.303553772,1040000000
0,0.607446057,0.797465824,0.470644087,0,8810000000,0.208928029,0.225394724,0.303530569,1190000000
0,0.618933683,0.797444381,0.470652475,0.023430744,3150000000,0.005567365,0.223220195,0.303432922,0
0,0.6095072,0.797413255,0.464264446,0.010287691,0.000281296,0.417653609,0.21896568,0.303391592,0
0,0.602956226,0.797417128,0.464603306,0.012326171,1030000000,0.306913655,0.221896568,0.303456125,0
0,0.611762925,0.797046237,0.466873003,0.046858222,3630000000,0,0.203554883,0.303016717,1240000000
0,0.626544055,0.797512168,0.471058437,0.009797086,2610000000,0.231096265,0.224260187,0.303466277,900000000
0,0.609737817,0.797571239,0.495880828,0,7840000000,0.213786821,0.228420157,0.303543379,1440000000
0,0.60202655,0.797502899,0.473888428,0.006932938,821000000,0.196376151,0.220572941,0.303694924,577000000
1,0.599115006,0.797240882,0.460246764,0.001554113,423000000,0,0.177838707,0.30325769,50900000
1,0.599987028,0.797290547,0.458983585,0.027677719,1870000000,0,0.202514891,0.303477395,0
0,0.618868822,0.79738033,0.46320928,0.004227525,2320000000,0,0.21102392,0.303414553,1120000000
0,0.601168942,0.797439539,0.464459039,0.0085836,326000000,0.077032088,0.225394724,0.303547246,67900000
0,0.603475115,0.797414915,0.465754091,0,8840000000,0.039983804,0.218209322,0.303621931,0
0,0.599107799,0.79739278,0.463652148,0.002895401,264000000,0.093835408,0.218682046,0.303474978,0
0,0.614278096,0.797519777,0.466757253,0.101679047,28900000,0,0.213576629,0.303743022,1380000000
0,0.622702835,0.797245033,0.463940683,0.031533546,6210000000,0,0.209794838,0.303212493,1090000000
0,0.607042477,0.797403986,0.463568271,0.016531425,4360000000,0.544893208,0.2149948,0.303448633,0
0,0.60088067,0.797387938,0.467552402,0.009956537,3970000000,0,0.215372979,0.303508332,849000000
0,0.598444774,0.797404401,0.471709318,0.016820574,3050000000,0,0.212253002,0.303583742,0
0,0.625326107,0.797541635,0.469151087,0.02285184,406000000,0.302560988,0.221612934,0.303441623,1040000000
0,0.604411998,0.797896063,0.461857192,0.013724605,0.000307945,0,0.220667486,0.30440576,968000000
0,0.61817697,0.797521852,0.46673209,0.008020276,5130000000,0.235752607,0.225489269,0.303528877,0
